Species	Strain	NCTC_number	Type_Strain	Cond_solid	Cond_liquid
Salmonella enterica subsp. arizonae	Pc 110	NCTC 7353	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 211 (CN 4246)	NCTC 7354	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 217 (CN 4242)	NCTC 7355	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Cal 1141	NCTC 7356	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pseudomonas chlororaphis	NCTC 7357	NCTC 7357	No	Nutrient agar, 24-48 hours, 30°C, aerobic	nutrient broth,30, aerobic
Corynebacterium diphtheriae	Cairo 6	NCTC 7359	No	lemco agar,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Escherichia coli	CN 636	NCTC 7360	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	Mayo 910	NCTC 7361	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	type 19 Stewart	NCTC 7362	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Acinetobacter baumannii	Poultney	NCTC 7363	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Acinetobacter baumannii	Carr	NCTC 7364	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Streptococcus salivarius	Williams	NCTC 7366	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Orion	7370 American 195 3, 10:y:1, 5	NCTC 7370	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Fayed	7371 Col Sal 737/46 (JT 167) 6, 8:l, w:1, 2	NCTC 7371	No	nutrient agar,37, facultative anaerobe	nutrient agar,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Manchester	Col Sal 230/47	NCTC 7372	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Brancaster	Col Sal 100/47 (JT 196)	NCTC 7373	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Chittagong	JT 225 (CN 4093)	NCTC 7374	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Kisangani	7375 752 4, 5, 12:a:1, 2	NCTC 7375	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Singapore	7376 JT 239 6, 7:k:e, n, x	NCTC 7376	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7377	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus faecium	Grumbach serotype 12	NCTC 7378	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus faecium	Grumbach serotype 17	NCTC 7379	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus faecium	Grumbach serotype 21	NCTC 7380	No	lemco agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Morganella morganii	2285/93	NCTC 7381	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Burkholderia pseudomallei	Harries	NCTC 7383	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella parapertussis	7010 (Eldering R4a)	NCTC 7385	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. enterica serotype Orientalis	Edwards 211	NCTC 7388	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Monschaui	7389 Edwards 212 35:m, t:-	NCTC 7389	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Marseille	Edwards 213	NCTC 7390	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Texas	Edwards 216	NCTC 7393	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Isangi	Edwards 217	NCTC 7394	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Hidalgo	Edwards 218	NCTC 7395	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Lomita	Edwards 221	NCTC 7398	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Riogrande	7399 Edwards 222 (CN 4098) 40:b:1, 5	NCTC 7399	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Stanleyville	Edwards 223	NCTC 7400	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Waycross	7401 Edwards 224 41:z4, z23:-	NCTC 7401	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Memphis	7402 Edwards 225 18:k:1, 5	NCTC 7402	No	nutrient agar,37, facultative anaerobe	nutrient agar,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Chandans	7403 Edwards 226 11:d:e, n, x	NCTC 7403	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Irumu	Edwards 227	NCTC 7404	No	Nutrient / Columbia blood agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Illinois	Edwards 229 (CN 4095)	NCTC 7405	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Sanjuan	7406 Edwards 230 6, 7:a:1, 5	NCTC 7406	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Edinburgh	Edwards 231	NCTC 7407	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Pharr	Edwards 232	NCTC 7408	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Donna	7409 Edwards 233 (CN 4094) 30:l, v:1, 5	NCTC 7409	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Macallen	Edwards 234	NCTC 7410	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Weslaco	Edwards 236 (CN 4101)	NCTC 7411	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Acinetobacter baumannii	Jones	NCTC 7412	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Staphylococcus aureus	Petre	NCTC 7414	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	Hughes	NCTC 7415	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Mycobacterium tuberculosis	H 37 Rv	NCTC 7416	No	lowenstein-jensen,37, aerobic	lowenstein-jensen,dorset egg,kirchner medium,37, aerobic oxr:ae
Mycobacterium tuberculosis	H 37 Ra	NCTC 7417	No	lowenstein-jensen,37, aerobic	kirchner broth,37, aerobic
Acinetobacter baumannii	Ayers	NCTC 7422	No	Nutrient / Columbia blood agar, 24 hours, 37°C, aerobic	nutrient broth,37, aerobic
Clostridium butyricum	Rowett	NCTC 7423	Yes	meat broth,37, strict anaerobe	blood agar,37, strict anaerobe
Salmonella enterica subsp. enterica serotype Isangi	Edwards 288	NCTC 7426	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Klebsiella pneumoniae	PCI 602	NCTC 7427	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	S 32a	NCTC 7428	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Takoradi	7430 JT 238 6, 8:i:1, 5	NCTC 7430	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Burkholderia pseudomallei	Guys	NCTC 7431	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Haemophilus parasuis	Goldsmith	NCTC 7440	No	chocolate blood agar (co2),37, facultative anaerobe	nutrient broth + f e,37, facultative anaerobe
Haemophilus parasuis	VRO 8	NCTC 7441	No	chocolate blood agar (co2),37, facultative anaerobe	nutrient broth + f e,37, facultative anaerobe
Staphylococcus aureus	3916	NCTC 7445	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	4016	NCTC 7446	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	FDA 209-P	NCTC 7447	No	Columbia blood agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Corynebacterium renale	Charita a	NCTC 7448	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Corynebacterium xerosis	W Daisy	NCTC 7449	No	lemco agar,37, facultative anaerobe	columbia blood agar,37, facultative anaerobe
Arcanobacterium pyogenes	B 11	NCTC 7450	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pseudomonas sp.	OP 598	NCTC 7452	No	Nutrient agar, 24 hours, 30°C, aerobic	nutrient broth,37, aerobic
Pseudomonas mendocina	6121	NCTC 7453	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, aerobic
Pseudomonas mendocina	7808	NCTC 7454	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Pseudomonas mendocina	8025	NCTC 7455	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Pasteurella multocida	Exeter 6526	NCTC 7460	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Acinetobacter baumannii	Crook	NCTC 7461	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Acinetobacter baumannii	Hourigan	NCTC 7462	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bacillus cereus	NRRL 569	NCTC 7464	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus pneumoniae	SV 1	NCTC 7465	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic, requires carbon dioxide	nutrient broth,37, facultative anaerobe
Streptococcus pneumoniae	D 39	NCTC 7466	No	Columbia blood agar, 24-48 hours, 37°C, aerobic, requires carbon dioxide	nutrient broth, 37, facultative anaerobe
Bacillus sonorensis	USDA 712	NCTC 7467	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Brucella abortus	771	NCTC 7470	No	Blood agar , 37, aerobic, Carbon dioxide required	Nutrient broth, 37, aerobic
Brucella abortus	D 432	NCTC 7471	No	Blood agar, 37, aerobic, Carbon dioxide required	Nutrient broth, 37, aerobic
Brucella abortus	MAU 223	NCTC 7472	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth,37, aerobic
Staphylococcus epidermidis	Smith	NCTC 7474	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Providencia rettgeri	KB 5	NCTC 7475	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rettgeri	KB 119	NCTC 7476	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rettgeri	KB 357	NCTC 7477	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rettgeri	KB 683	NCTC 7478	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rettgeri	JB 1893	NCTC 7479	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rettgeri	KB 712	NCTC 7480	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rettgeri	KB 772	NCTC 7481	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	Streatley 1	NCTC 7485	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus sp.	Streatley 2	NCTC 7486	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Micrococcus luteus	M4	NCTC 7495	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Micrococcus luteus	44906	NCTC 7503	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Staphylococcus aureus	Woollie	NCTC 7507	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Micrococcus luteus	ATCC 966	NCTC 7508	No	dorset agar,22, aerobic	dorset broth,22, aerobic
Kocuria rosea	28 (3)	NCTC 7509	No	nutrient agar,22, aerobic	nutrient broth,22, aerobic
Rhodococcus rhodochrous	ATCC 184	NCTC 7510	No		
Kocuria rosea	ATCC 144	NCTC 7511	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Kocuria rosea	ATCC 177	NCTC 7512	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Kocuria rosea	ATCC 178	NCTC 7513	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Kocuria rosea	ATCC 179	NCTC 7514	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Kocuria rosea	ATCC 418	NCTC 7520	No	nutrient agar,30, facultative anaerobe	nutrient broth,30, facultative anaerobe
Kocuria rosea	ATCC 1186	NCTC 7523	Yes	Nutrient agar, 48 hours, 30°C, aerobic	nutrient broth,37, aerobic
Staphylococcus saprophyticus subsp. saprophyticus	B 528	NCTC 7526	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Kocuria rosea	349	NCTC 7528	No	nutrient agar,37, aerobic	nutrient agar,37, aerobic
Staphylococcus saprophyticus subsp. saprophyticus	BCH-c	NCTC 7540	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Cellulomonas fimi	ATCC 484	NCTC 7547	Yes	blood agar,37, aerobic	nutrient broth,37, aerobic
Corynebacterium pseudodiphtheriticum	3-49	NCTC 7549	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Micrococcus luteus	G 76 Group II B	NCTC 7562	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Micrococcus luteus	G 36	NCTC 7563	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Kocuria varians	G 33	NCTC 7564	Yes	nutrient agar,	nutrient broth,
Kocuria varians	G 40	NCTC 7565	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Kocuria varians	G 92	NCTC 7566	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Brachybacterium nesterenkovii	G 9	NCTC 7567	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Paenibacillus polymyxa	G 43	NCTC 7575	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus pumilus	G 33	NCTC 7576	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Brevibacillus brevis	G 108	NCTC 7577	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Paenibacillus chibensis	G 48	NCTC 7578	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Brevibacillus laterosporus	G 308	NCTC 7579	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus megaterium	Gibson	NCTC 7581	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bacillus sphaericus	Gibson	NCTC 7582	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Paenibacillus alvei	G 642 T. Gibson, Edinburgh in 1948	NCTC 7583	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus sphaericus	G 1019	NCTC 7585	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bacillus mycoides	G 15	NCTC 7586	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus cereus	G 12	NCTC 7587	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Paenibacillus macerans	G 411	NCTC 7588	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus licheniformis	G 413	NCTC 7589	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 2	NCTC 7592	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 4	NCTC 7594	No	serum agar,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Aerococcus viridans	H 5	NCTC 7595	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 6	NCTC 7596	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 7	NCTC 7597	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 8	NCTC 7598	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 9	NCTC 7599	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 10	NCTC 7600	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 11	NCTC 7601	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aerococcus viridans	H 12	NCTC 7602	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus warneri	Parker IC-31	NCTC 7612	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Micrococcus sp.	Parker IC-17	NCTC 7617	No	nutrient agar,30, aerobic	nutrient broth,30, aerobic
Kocuria varians	Parker IC-22	NCTC 7619	No	nutrient agar,37, aerobic	lemco media, nutrient broth, nutrient agar,37, aerobic oxr:ae
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-26	NCTC 7623	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-84	NCTC 7666	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-121	NCTC 7687	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-122	NCTC 7688	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-131	NCTC 7692	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	650 N	NCTC 7712	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus	C 2	NCTC 7718	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	9 N Ra	NCTC 7727	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
